episode,total_reward,episode_length,mean_reward_last_100,mean_loss,epsilon
1,11.0,11,11.0,0.0,0.9793282232986495
2,35.0,35,23.0,0.0,0.9164998920678359
3,19.0,19,21.666666666666668,0.0,0.8841906593745332
4,27.0,27,23.0,0.0,0.8403390136353381
5,50.0,50,28.4,0.0,0.7651283124708864
6,13.0,13,25.833333333333332,0.0,0.7467746084130747
7,32.0,32,26.714285714285715,0.0,0.7035780662375305
8,24.0,24,26.375,0.0,0.6729473374237697
9,29.0,29,26.666666666666668,0.0,0.6378442222158338
10,18.0,18,25.8,0.0,0.6170582230406401
11,23.0,23,25.545454545454547,0.0,0.5915643980091128
12,33.0,33,26.166666666666668,0.0,0.5569751479778411
13,12.0,12,25.076923076923077,0.0,0.5449525921731677
14,19.0,19,24.642857142857142,0.0,0.5264972656127528
15,20.0,20,24.333333333333332,0.0,0.5078135405856923
16,12.0,12,23.5625,0.0,0.496956817407484
17,23.0,23,23.529411764705884,0.0,0.4768625159113605
18,18.0,18,23.22222222222222,0.0,0.46176878262567905
19,15.0,15,22.789473684210527,0.0,0.4495991759537968
20,18.0,18,22.55,0.0,0.43546946636768463
21,24.0,24,22.61904761904762,0.0,0.4174039722817761
22,16.0,16,22.318181818181817,0.0,0.40583316543694326
23,26.0,26,22.47826086956522,0.0,0.3878026957293718
24,12.0,12,22.041666666666668,0.0,0.3797919445582848
25,18.0,18,21.88,0.0,0.36813059818707367
26,18.0,18,21.73076923076923,0.0,0.35688159360114025
27,14.0,14,21.444444444444443,0.0,0.34840809160317676
28,27.0,27,21.642857142857142,0.0,0.33272140682477935
29,14.0,14,21.379310344827587,0.0,0.3249150070420981
30,12.0,12,21.066666666666666,0.0,0.3183955927731954
31,10.0,10,20.70967741935484,0.0,0.31308100395766625
32,11.0,11,20.40625,0.0,0.30735642314905576
33,15.0,15,20.242424242424242,0.0,0.2997503913750211
34,20.0,20,20.235294117647058,0.0,0.28995753845727973
35,12.0,12,20.0,0.0,0.2842671157445262
36,15.0,15,19.86111111111111,0.0,0.2773434761315668
37,11.0,11,19.62162162162162,0.0,0.27239653552830306
38,15.0,15,19.5,0.0,0.26582372458010384
39,10.0,10,19.256410256410255,0.0,0.2615501285015403
40,10.0,10,19.025,0.0,0.2573611552950834
41,21.0,21,19.073170731707318,0.0,0.24883234547705352
42,9.0,9,18.833333333333332,0.0,0.24528538169996517
43,17.0,17,18.790697674418606,0.0,0.23875728522344514
44,19.0,19,18.795454545454547,0.0,0.23171908117210188
45,12.0,12,18.644444444444446,0.0,0.2274097421386606
46,16.0,16,18.58695652173913,0.0,0.221822502986266
47,18.0,18,18.574468085106382,0.0,0.2157469097076764
48,16.0,16,18.520833333333332,0.0,0.21052697301117107
49,15.0,15,18.448979591836736,0.0,0.20578268397275284
50,10.0,10,18.28,0.0,0.20269798015425783
51,10.0,10,18.11764705882353,0.0,0.1996743575638248
52,18.0,18,18.115384615384617,0.0,0.19438191620726586
53,12.0,12,18.0,0.0,0.19095800154061754
54,15.0,15,17.944444444444443,0.0,0.18679206301301604
55,21.0,21,18.0,0.0,0.18116577544534818
56,12.0,12,17.892857142857142,0.4559543530146281,0.17805527217660827
57,9.0,9,17.736842105263158,0.245113472143809,0.17577089831990078
58,10.0,10,17.603448275862068,0.06295683048665524,0.1732804676737656
59,32.0,32,17.847457627118644,0.012006658827885985,0.1656376950224786
60,14.0,14,17.783333333333335,0.0018816359973113453,0.16244474940356862
61,11.0,11,17.672131147540984,0.2527965930375186,0.15999797808682137
62,29.0,29,17.85483870967742,0.05609399382153462,0.15379958623978313
63,17.0,17,17.841269841269842,0.02536531614468378,0.15032972225253777
64,25.0,25,17.953125,0.025439750105142593,0.145436583958598
65,9.0,9,17.815384615384616,0.025388595337669056,0.14373409382552627
66,8.0,8,17.666666666666668,0.027288518496789038,0.1422462825543258
67,10.0,10,17.55223880597015,0.018813229189254342,0.14041968377723024
68,12.0,12,17.470588235294116,0.026357018544028204,0.13827544515253895
69,9.0,9,17.347826086956523,0.0221369457948539,0.1367007023429062
70,11.0,11,17.257142857142856,0.02530489294705066,0.13481411543902955
71,9.0,9,17.140845070422536,0.23880597286754185,0.13330111917815335
72,10.0,10,17.041666666666668,0.11144614182412624,0.13165164650339384
73,10.0,10,16.945205479452056,0.06034610867500305,0.1300348355759388
74,11.0,11,16.864864864864863,0.0644768677143888,0.12829329636609133
75,11.0,11,16.786666666666665,0.046215744519775566,0.12658965264009925
76,9.0,9,16.68421052631579,0.046086218828956284,0.1252233723049635
77,16.0,16,16.675324675324674,0.06490994826890528,0.12285433120355117
78,9.0,9,16.576923076923077,0.04074056177503533,0.1215546851466534
79,11.0,11,16.50632911392405,0.05335164391859011,0.11999767201687754
80,9.0,9,16.4125,0.04929706205924352,0.11874898581077419
81,9.0,9,16.320987654320987,0.23539925573600662,0.11752257487749612
82,14.0,14,16.29268292682927,0.13609901443123817,0.11565816630734335
83,11.0,11,16.228915662650603,0.09062998166138475,0.11422946004152702
84,25.0,25,16.333333333333332,0.07969391271471978,0.11109695231129334
85,19.0,19,16.36470588235294,0.06767222253409655,0.10881882663909459
86,19.0,19,16.3953488372093,0.08421197514000692,0.1066256455734924
87,26.0,26,16.50574712643678,0.08824405038299468,0.10375635994653062
88,21.0,21,16.556818181818183,0.09360212903647196,0.1015453490663053
89,16.0,16,16.55056179775281,0.07215481513412669,0.0999220098462865
90,34.0,34,16.744444444444444,0.07561599428984611,0.09664016056091795
91,25.0,25,16.835164835164836,0.19016263335943223,0.09436549308898287
92,27.0,27,16.945652173913043,0.1159676355999653,0.09203329257328603
93,43.0,43,17.225806451612904,0.1085351288838442,0.08856950678443606
94,41.0,41,17.47872340425532,0.07993813953930284,0.08553300506124953
95,79.0,79,18.126315789473683,0.09883831334123507,0.08033984862423288
96,164.0,164,19.645833333333332,0.09108183933876274,0.07185570497235413
97,127.0,127,20.75257731958763,0.08476710072755227,0.0669532911750015
98,181.0,181,22.387755102040817,0.0695314285016068,0.06180427772204104
99,151.0,151,23.68686868686869,0.060951140365372136,0.05872735184843243
100,140.0,140,24.85,0.05086348438552315,0.05659599063300881
101,181.0,181,26.55,0.07561091767901874,0.054592671976213515
